ARRIVAL_DELAY,DEPARTURE_DELAY,ARRIVAL_DELAY_hr,DEPARTURE_DELAY_hr
-23.0,-9.0,-0.38333333333333336,-0.15
-1.0,-1.0,-0.016666666666666666,-0.016666666666666666
-6.0,-2.0,-0.1,-0.03333333333333333
-8.0,4.0,-0.13333333333333333,0.06666666666666667
-9.0,-4.0,-0.15,-0.06666666666666667
8.0,-5.0,0.13333333333333333,-0.08333333333333333
-3.0,-2.0,-0.05,-0.03333333333333333
-9.0,0.0,-0.15,0.0
4.0,-5.0,0.06666666666666667,-0.08333333333333333
-13.0,-7.0,-0.21666666666666667,-0.11666666666666667
4.0,20.0,0.06666666666666667,0.3333333333333333
-32.0,-9.0,-0.5333333333333333,-0.15
12.0,6.0,0.2,0.1
-11.0,-6.0,-0.18333333333333332,-0.1
-11.0,-4.0,-0.18333333333333332,-0.06666666666666667
-6.0,-2.0,-0.1,-0.03333333333333333
3.0,-1.0,0.05,-0.016666666666666666
-10.0,-3.0,-0.16666666666666666,-0.05
3.0,-6.0,0.05,-0.1
-16.0,-11.0,-0.26666666666666666,-0.18333333333333332
-9.0,-6.0,-0.15,-0.1
5.0,20.0,0.08333333333333333,0.3333333333333333
-12.0,-8.0,-0.2,-0.13333333333333333
-8.0,0.0,-0.13333333333333333,0.0
-17.0,-9.0,-0.2833333333333333,-0.15
-12.0,-8.0,-0.2,-0.13333333333333333
-2.0,-4.0,-0.03333333333333333,-0.06666666666666667
-18.0,-7.0,-0.3,-0.11666666666666667
-8.0,-2.0,-0.13333333333333333,-0.03333333333333333
-5.0,7.0,-0.08333333333333333,0.11666666666666667
-5.0,-2.0,-0.08333333333333333,-0.03333333333333333
13.0,10.0,0.21666666666666667,0.16666666666666666
-9.0,-4.0,-0.15,-0.06666666666666667
-21.0,-9.0,-0.35,-0.15
-15.0,-2.0,-0.25,-0.03333333333333333
10.0,-1.0,0.16666666666666666,-0.016666666666666666
-13.0,-4.0,-0.21666666666666667,-0.06666666666666667
-3.0,8.0,-0.05,0.13333333333333333
-5.0,-1.0,-0.08333333333333333,-0.016666666666666666
16.0,9.0,0.26666666666666666,0.15
-7.0,-1.0,-0.11666666666666667,-0.016666666666666666
-2.0,-2.0,-0.03333333333333333,-0.03333333333333333
-21.0,-5.0,-0.35,-0.08333333333333333
27.0,18.0,0.45,0.3
-12.0,-7.0,-0.2,-0.11666666666666667
-1.0,-5.0,-0.016666666666666666,-0.08333333333333333
1.0,-2.0,0.016666666666666666,-0.03333333333333333
1.0,-1.0,0.016666666666666666,-0.016666666666666666
-6.0,-4.0,-0.1,-0.06666666666666667
9.0,9.0,0.15,0.15
4.0,3.0,0.06666666666666667,0.05
-2.0,-1.0,-0.03333333333333333,-0.016666666666666666
70.0,69.0,1.1666666666666667,1.15
32.0,16.0,0.5333333333333333,0.26666666666666666
9.0,2.0,0.15,0.03333333333333333
-4.0,-3.0,-0.06666666666666667,-0.05
5.0,3.0,0.08333333333333333,0.05
-4.0,-6.0,-0.06666666666666667,-0.1
5.0,3.0,0.08333333333333333,0.05
5.0,17.0,0.08333333333333333,0.2833333333333333
6.0,-6.0,0.1,-0.1
-12.0,-5.0,-0.2,-0.08333333333333333
-17.0,-11.0,-0.2833333333333333,-0.18333333333333332
12.0,-8.0,0.2,-0.13333333333333333
24.0,7.0,0.4,0.11666666666666667
72.0,59.0,1.2,0.9833333333333333
-9.0,-10.0,-0.15,-0.16666666666666666
-21.0,-1.0,-0.35,-0.016666666666666666
-5.0,8.0,-0.08333333333333333,0.13333333333333333
42.0,43.0,0.7,0.7166666666666667
-13.0,-4.0,-0.21666666666666667,-0.06666666666666667
7.0,2.0,0.11666666666666667,0.03333333333333333
40.0,16.0,0.6666666666666666,0.26666666666666666
17.0,19.0,0.2833333333333333,0.31666666666666665
-14.0,-3.0,-0.23333333333333334,-0.05
-8.0,-3.0,-0.13333333333333333,-0.05
61.0,69.0,1.0166666666666666,1.15
-21.0,-1.0,-0.35,-0.016666666666666666
-19.0,-7.0,-0.31666666666666665,-0.11666666666666667
-11.0,-6.0,-0.18333333333333332,-0.1
65.0,56.0,1.0833333333333333,0.9333333333333333
78.0,75.0,1.3,1.25
41.0,15.0,0.6833333333333333,0.25
-2.0,7.0,-0.03333333333333333,0.11666666666666667
13.0,8.0,0.21666666666666667,0.13333333333333333
-3.0,-3.0,-0.05,-0.05
13.0,12.0,0.21666666666666667,0.2
1.0,-5.0,0.016666666666666666,-0.08333333333333333
0.0,4.0,0.0,0.06666666666666667
5.0,-7.0,0.08333333333333333,-0.11666666666666667
2.0,-2.0,0.03333333333333333,-0.03333333333333333
-16.0,-4.0,-0.26666666666666666,-0.06666666666666667
-14.0,-9.0,-0.23333333333333334,-0.15
-12.0,-4.0,-0.2,-0.06666666666666667
8.0,6.0,0.13333333333333333,0.1
-8.0,-4.0,-0.13333333333333333,-0.06666666666666667
29.0,18.0,0.48333333333333334,0.3
21.0,20.0,0.35,0.3333333333333333
34.0,6.0,0.5666666666666667,0.1
-6.0,-10.0,-0.1,-0.16666666666666666
40.0,0.0,0.6666666666666666,0.0
-17.0,0.0,-0.2833333333333333,0.0
27.0,14.0,0.45,0.23333333333333334
12.0,-6.0,0.2,-0.1
-4.0,6.0,-0.06666666666666667,0.1
136.0,129.0,2.2666666666666666,2.15
-1.0,-6.0,-0.016666666666666666,-0.1
-5.0,-11.0,-0.08333333333333333,-0.18333333333333332
10.0,-4.0,0.16666666666666666,-0.06666666666666667
-4.0,-8.0,-0.06666666666666667,-0.13333333333333333
-1.0,-1.0,-0.016666666666666666,-0.016666666666666666
-3.0,-12.0,-0.05,-0.2
15.0,2.0,0.25,0.03333333333333333
39.0,38.0,0.65,0.6333333333333333
40.0,54.0,0.6666666666666666,0.9
-9.0,-7.0,-0.15,-0.11666666666666667
-2.0,-11.0,-0.03333333333333333,-0.18333333333333332
3.0,-10.0,0.05,-0.16666666666666666
1.0,3.0,0.016666666666666666,0.05
-5.0,-9.0,-0.08333333333333333,-0.15
-3.0,-2.0,-0.05,-0.03333333333333333
-4.0,-3.0,-0.06666666666666667,-0.05
17.0,2.0,0.2833333333333333,0.03333333333333333
42.0,47.0,0.7,0.7833333333333333
22.0,0.0,0.36666666666666664,0.0
-10.0,-2.0,-0.16666666666666666,-0.03333333333333333
-2.0,-5.0,-0.03333333333333333,-0.08333333333333333
28.0,34.0,0.4666666666666667,0.5666666666666667
-4.0,-7.0,-0.06666666666666667,-0.11666666666666667
-7.0,-6.0,-0.11666666666666667,-0.1
7.0,2.0,0.11666666666666667,0.03333333333333333
-1.0,-2.0,-0.016666666666666666,-0.03333333333333333
-20.0,-1.0,-0.3333333333333333,-0.016666666666666666
8.0,29.0,0.13333333333333333,0.48333333333333334
7.0,-7.0,0.11666666666666667,-0.11666666666666667
-8.0,-9.0,-0.13333333333333333,-0.15
-9.0,-4.0,-0.15,-0.06666666666666667
-12.0,-5.0,-0.2,-0.08333333333333333
-24.0,-8.0,-0.4,-0.13333333333333333
-6.0,-2.0,-0.1,-0.03333333333333333
46.0,51.0,0.7666666666666667,0.85
-7.0,4.0,-0.11666666666666667,0.06666666666666667
-13.0,-1.0,-0.21666666666666667,-0.016666666666666666
5.0,-4.0,0.08333333333333333,-0.06666666666666667
-15.0,-10.0,-0.25,-0.16666666666666666
12.0,-5.0,0.2,-0.08333333333333333
-8.0,-9.0,-0.13333333333333333,-0.15
6.0,8.0,0.1,0.13333333333333333
27.0,6.0,0.45,0.1
17.0,3.0,0.2833333333333333,0.05
-1.0,-1.0,-0.016666666666666666,-0.016666666666666666
3.0,-3.0,0.05,-0.05
-8.0,-4.0,-0.13333333333333333,-0.06666666666666667
-12.0,-5.0,-0.2,-0.08333333333333333
-3.0,-10.0,-0.05,-0.16666666666666666
8.0,-1.0,0.13333333333333333,-0.016666666666666666
2.0,-9.0,0.03333333333333333,-0.15
-20.0,-11.0,-0.3333333333333333,-0.18333333333333332
-16.0,-3.0,-0.26666666666666666,-0.05
